"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ray-Ray McCloud","PIT","6.9","66.3","0.4","2.0","12.8","0.1","0.1","10.3"
"Demetric Felton","CLE","11.0","81.9","0.4","0.0","0.0","0.0","0.1","10.3"
"Anthony Schwartz","CLE","5.9","75.9","0.5","0.0","0.0","0.0","0.0","10.3"
"Steven Sims Jr.","PIT","6.0","75.2","0.4","0.0","0.0","0.0","0.0","10.0"
"Cameron Batson","TEN","5.5","59.1","0.4","1.7","10.0","0.1","0.1","9.7"
"Mike Thomas","CIN","5.1","70.5","0.4","0.0","0.0","0.0","0.0","9.5"
"Lil'Jordan Humphrey","NO","5.3","62.6","0.4","0.0","0.0","0.0","0.0","8.8"
"Jeff Smith","NYJ","5.6","63.8","0.4","0.0","0.0","0.0","0.0","8.6"
"Diontae Spencer","DEN","4.6","53.5","0.3","1.6","9.1","0.1","0.0","8.3"
"Penny Hart","SEA","4.2","55.8","0.4","0.7","3.3","0.0","0.0","8.1"
"Gunner Olszewski","NE","3.8","52.5","0.3","1.3","6.8","0.0","0.0","7.8"
"Matthew Slater","NE","1.4","66.4","0.2","0.0","0.0","0.0","0.0","7.6"
"Andre Roberts","LAC","4.2","57.7","0.3","0.0","0.0","0.0","0.0","7.6"
"Jake Kumerow","BUF","3.9","53.2","0.4","0.0","0.0","0.0","0.0","7.4"
"Tajae Sharpe","ATL","4.4","55.4","0.2","0.0","0.0","0.0","0.0","6.9"
"J.J. Arcega-Whiteside","PHI","3.2","50.4","0.3","0.0","0.0","0.0","0.0","6.8"
"KJ Hill Jr.","LAC","3.8","49.0","0.3","0.0","0.0","0.0","0.0","6.5"
"DeAndre Carter","WAS","3.8","49.0","0.3","0.0","0.0","0.0","0.0","6.4"
"John Ursua","SEA","2.9","33.0","0.5","0.0","0.0","0.0","0.0","6.3"
"Marcus Johnson","TEN","3.6","43.6","0.3","0.0","0.0","0.0","0.0","6.3"
"Greg Dortch","ARI","4.1","46.9","0.3","0.0","0.0","0.0","0.0","6.3"
"James Proche II","BAL","3.1","45.7","0.3","0.0","0.0","0.0","0.0","6.2"
"Brandon Zylstra","CAR","3.8","52.8","0.1","0.3","2.7","0.0","0.0","6.1"
"Racey McMath","TEN","3.1","38.5","0.3","0.0","0.0","0.0","0.0","5.5"
"Trent Taylor","CIN","3.9","39.7","0.2","0.0","0.0","0.0","0.0","5.4"
"John Ross","NYG","2.5","34.5","0.3","0.0","0.0","0.0","0.0","5.2"
"Malik Taylor","GB","2.6","36.7","0.3","0.0","0.0","0.0","0.0","5.1"
"Nsimba Webster","CHI","1.9","39.0","0.1","0.0","0.0","0.0","0.0","4.7"
"C.J. Board","NYG","2.1","37.8","0.1","0.0","0.0","0.0","0.0","4.7"
"Tavon Austin","JAC","3.1","36.6","0.2","0.0","0.0","0.0","0.0","4.6"
"Ashton Dulin","IND","2.0","35.2","0.2","0.0","0.0","0.0","0.0","4.4"
"Malcolm Perry","NO","1.7","19.6","0.1","2.0","10.1","0.1","0.0","3.9"
"Antonio Gandy-Golden","WAS","2.1","28.6","0.2","0.0","0.0","0.0","0.0","3.9"
"Daurice Fountain","KC","2.0","26.2","0.2","0.0","0.0","0.0","0.0","3.7"
"Mike Strachan","IND","2.0","26.7","0.1","0.0","0.0","0.0","0.0","3.5"
"Isaac Whitney","ARI","2.1","24.1","0.2","0.0","0.0","0.0","0.0","3.4"
"Terry Godwin","JAC","2.0","22.5","0.2","0.0","0.0","0.0","0.0","3.3"
"Brandon Powell","LAR","2.0","21.8","0.2","0.0","0.0","0.0","0.0","3.2"
"Jauan Jennings","SF","1.7","22.7","0.1","0.0","0.0","0.0","0.0","3.0"
"Dax Milne","WAS","1.8","23.4","0.1","0.0","0.0","0.0","0.0","3.0"
"Antoine Wesley","ARI","1.8","22.2","0.1","0.0","0.0","0.0","0.0","3.0"
"Marcus Kemp","KC","1.2","22.3","0.1","0.0","0.0","0.0","0.0","2.8"
"Allen Hurns","MIA","1.6","16.7","0.2","0.0","0.0","0.0","0.0","2.8"
"Juwan Johnson","NO","1.7","21.4","0.1","0.0","0.0","0.0","0.0","2.7"
"Equanimeous St. Brown","GB","1.3","17.1","0.2","0.0","0.0","0.0","0.0","2.7"
"Travis Benjamin","SF","1.2","17.3","0.2","0.0","0.0","0.0","0.0","2.7"
"Stanley Morgan Jr.","CIN","1.3","15.8","0.1","0.0","0.0","0.0","0.0","2.0"
"Mack Hollins","MIA","1.1","15.6","0.1","0.0","0.0","0.0","0.0","1.9"
"Kendall Hinton","DEN","1.1","12.1","0.0","1.2","6.4","0.0","0.0","1.9"
"Isaiah Ford","MIA","1.6","15.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","1.4"
"Matt Cole","CAR","0.9","9.5","0.0","0.9","4.3","0.0","0.0","1.4"
"DeMichael Harris","IND","0.7","8.1","0.0","0.9","4.7","0.0","0.0","1.3"
"Malik Turner","DAL","0.9","10.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Kelvin Harmon","WAS","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.0"
"John Hightower","PHI","0.7","9.8","0.0","0.0","0.0","0.0","0.0","1.0"
"Gehrig Dieter","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.0"
"Jason Moore Jr.","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.0"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","0.9"
"Jeff Badet","LV","0.9","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Keelan Doss","NYJ","0.8","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Tanner Gentry","BUF","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Lawrence Cager","CLE","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Marvin Hall","ATL","0.7","8.9","0.0","0.0","0.0","0.0","0.0","0.9"
"Robert Foster","DAL","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Alexander Hollins","CLE","0.7","8.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Dante Pettis","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Ja'Marcus Bradley","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"JoJo Natson","CLE","0.7","8.3","0.0","0.0","0.0","0.0","0.0","0.8"
"River Cracraft","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Devin Funchess","SF","0.7","8.1","0.0","0.0","0.0","0.0","0.0","0.8"
"Justin Hardy","CHI","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Kevin White","NO","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Keith Kirkwood","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","0.8"
"Jordan Matthews","SF","0.7","7.6","0.0","0.0","0.0","0.0","0.0","0.8"
"Ryan Switzer","CLE","0.8","7.1","0.0","0.0","0.0","0.0","0.0","0.7"
""
""
